teacher,classtitle,classcode
perf_prod_teacher_133749_342,perf_class_133749_342,67VD-HWc4
perf_prod_teacher_133749_343,perf_class_133749_343,8cVb-9hV2
perf_prod_teacher_133749_344,perf_class_133749_344,hB7A-4d6U
perf_prod_teacher_133749_347,perf_class_133749_347,27dD-8e9c
perf_prod_teacher_133749_345,perf_class_133749_345,4ACc-49hV
perf_prod_teacher_133749_346,perf_class_133749_346,936P-MaW7
perf_prod_teacher_133749_348,perf_class_133749_348,WfBK-be3X
perf_prod_teacher_133749_349,perf_class_133749_349,92FK-N6RN
perf_prod_teacher_133749_350,perf_class_133749_350,DeFe-c9XV
perf_prod_teacher_133749_351,perf_class_133749_351,8hbA-UMj4
perf_prod_teacher_133749_353,perf_class_133749_353,Df38-f6cY
perf_prod_teacher_133749_352,perf_class_133749_352,YeC8-cjgW
perf_prod_teacher_133749_354,perf_class_133749_354,PBb8-if2T
perf_prod_teacher_133749_355,perf_class_133749_355,Jg3X-C2i4
perf_prod_teacher_133749_358,perf_class_133749_358,NQ84-2L9B
perf_prod_teacher_133749_356,perf_class_133749_356,QdCh-biMV
perf_prod_teacher_133749_357,perf_class_133749_357,jX89-Wg49
perf_prod_teacher_133749_359,perf_class_133749_359,WefJ-UFf7
perf_prod_teacher_133749_360,perf_class_133749_360,di9W-7Qdc
perf_prod_teacher_133749_361,perf_class_133749_361,EK78-a24K
perf_prod_teacher_133749_362,perf_class_133749_362,ic3c-PVc2
perf_prod_teacher_133749_363,perf_class_133749_363,hZM7-EdM7
perf_prod_teacher_133749_365,perf_class_133749_365,37fP-36GR
perf_prod_teacher_133749_364,perf_class_133749_364,g6X2-7c9Z
perf_prod_teacher_133749_366,perf_class_133749_366,UjDG-T6cg
perf_prod_teacher_133749_367,perf_class_133749_367,9ed4-9f74
perf_prod_teacher_133749_368,perf_class_133749_368,QHQh-T8jd
perf_prod_teacher_133749_369,perf_class_133749_369,F7Kg-7ePj
perf_prod_teacher_133749_370,perf_class_133749_370,48hW-ibVe
perf_prod_teacher_133749_373,perf_class_133749_373,ZfKj-8g93
perf_prod_teacher_133749_371,perf_class_133749_371,X98H-a4jg
perf_prod_teacher_133749_372,perf_class_133749_372,PWf4-JVfR
perf_prod_teacher_133749_375,perf_class_133749_375,A3if-bc46
perf_prod_teacher_133749_374,perf_class_133749_374,g3ba-2T8d
perf_prod_teacher_133749_376,perf_class_133749_376,6QHc-Xaeh
perf_prod_teacher_133749_378,perf_class_133749_378,Fh9H-4NYj
perf_prod_teacher_133749_377,perf_class_133749_377,Y8cA-jVTC
perf_prod_teacher_133749_379,perf_class_133749_379,XYE4-RbcL
perf_prod_teacher_133749_380,perf_class_133749_380,76fa-hY28
perf_prod_teacher_133749_381,perf_class_133749_381,24DZ-hiP6
perf_prod_teacher_133749_382,perf_class_133749_382,3ED3-aQ9C
perf_prod_teacher_133749_383,perf_class_133749_383,a3g3-je7T
perf_prod_teacher_133749_384,perf_class_133749_384,YaY9-Wjdb
perf_prod_teacher_133749_385,perf_class_133749_385,c7bM-dFMj
perf_prod_teacher_133749_386,perf_class_133749_386,2A4f-dYAR
perf_prod_teacher_133749_387,perf_class_133749_387,WN6K-W6cB
perf_prod_teacher_133749_390,perf_class_133749_390,CeGW-T7dg
perf_prod_teacher_133749_388,perf_class_133749_388,b8gh-Nae6
perf_prod_teacher_133749_389,perf_class_133749_389,DZdH-jBde
perf_prod_teacher_133749_391,perf_class_133749_391,j6Vb-YjR2
perf_prod_teacher_133749_392,perf_class_133749_392,8a7H-3R2J
perf_prod_teacher_133749_393,perf_class_133749_393,QZQe-W67P
perf_prod_teacher_133749_394,perf_class_133749_394,eJbD-7e3i
perf_prod_teacher_133749_395,perf_class_133749_395,NRd3-78L2
perf_prod_teacher_133749_396,perf_class_133749_396,bf8H-Nc3f
perf_prod_teacher_133749_397,perf_class_133749_397,c9h3-4dai
perf_prod_teacher_133749_398,perf_class_133749_398,b6bA-JbHB
perf_prod_teacher_133749_399,perf_class_133749_399,GHPY-P7ib
perf_prod_teacher_133749_400,perf_class_133749_400,j272-bjeb
perf_prod_teacher_133749_401,perf_class_133749_401,Le24-c42c
perf_prod_teacher_133749_402,perf_class_133749_402,76A7-UNY2
perf_prod_teacher_133749_403,perf_class_133749_403,8Dg7-9ibY
perf_prod_teacher_133749_405,perf_class_133749_405,WJfY-eda7
perf_prod_teacher_133749_406,perf_class_133749_406,e9fc-ae4d
perf_prod_teacher_133749_404,perf_class_133749_404,P6HQ-hBMQ
perf_prod_teacher_133749_407,perf_class_133749_407,f3cZ-GcPb
perf_prod_teacher_133749_408,perf_class_133749_408,7H4Q-b3gd
perf_prod_teacher_133749_409,perf_class_133749_409,a83Q-98XP
perf_prod_teacher_133749_410,perf_class_133749_410,e9df-gfib
perf_prod_teacher_133749_411,perf_class_133749_411,iEgc-bf2G
perf_prod_teacher_133749_412,perf_class_133749_412,2eU9-hC4i
perf_prod_teacher_133749_413,perf_class_133749_413,acFc-fV47
perf_prod_teacher_133749_415,perf_class_133749_415,V4M8-Q8j8
perf_prod_teacher_133749_414,perf_class_133749_414,VX4B-gYgd
perf_prod_teacher_133749_416,perf_class_133749_416,3He8-2eYD
perf_prod_teacher_133749_417,perf_class_133749_417,4eBj-i3dD
perf_prod_teacher_133749_418,perf_class_133749_418,378d-T96e
perf_prod_teacher_133749_419,perf_class_133749_419,8Fha-f7U3
perf_prod_teacher_133749_420,perf_class_133749_420,Y84R-igiB
perf_prod_teacher_133749_421,perf_class_133749_421,fc8e-Fi4A
perf_prod_teacher_133749_422,perf_class_133749_422,QdgD-i8QU
perf_prod_teacher_133749_423,perf_class_133749_423,7RBN-Tj3i
perf_prod_teacher_133749_424,perf_class_133749_424,3Kci-c7LC
perf_prod_teacher_133749_425,perf_class_133749_425,RWb4-X28f
perf_prod_teacher_133749_426,perf_class_133749_426,9CKa-cf8J
perf_prod_teacher_133749_427,perf_class_133749_427,ci4f-BYd7
perf_prod_teacher_133749_429,perf_class_133749_429,eKhb-i76V
perf_prod_teacher_133749_428,perf_class_133749_428,9UJR-3jgA
perf_prod_teacher_133749_430,perf_class_133749_430,Z37g-dCgZ
perf_prod_teacher_133749_432,perf_class_133749_432,fBGP-8b4c
perf_prod_teacher_133749_431,perf_class_133749_431,4737-gdYh
perf_prod_teacher_133749_433,perf_class_133749_433,E47Z-i9Pf
perf_prod_teacher_133749_434,perf_class_133749_434,Ph9b-BPhe
perf_prod_teacher_133749_435,perf_class_133749_435,RWb2-hAf7
perf_prod_teacher_133749_436,perf_class_133749_436,d8a4-8biB
perf_prod_teacher_133749_437,perf_class_133749_437,a6dj-6Ua6
perf_prod_teacher_133749_438,perf_class_133749_438,3486-P4RT
perf_prod_teacher_133749_439,perf_class_133749_439,2gih-d6Ua
perf_prod_teacher_133749_440,perf_class_133749_440,94A7-YeVf
