tchextuserid,classname,classcode,assignment1,assignment2,assignment3,assignment4,assignment5
tch_20200623-215505_86,class_20200623-215505_86,x9aJ-h497,6f8c9739-41bd-4002-952a-ce71825415b2,94b42f6c-cf1c-439d-86a1-9e223d0a9015,757dc85f-53cc-4516-b10d-b12c0445797b,4b40c9f9-111c-4373-8094-7205818d594c,b763d86f-2c3e-426a-b2e0-2f19e1bb13d8,
tch_20200623-215505_82,class_20200623-215505_82,v9R2-N6ra,c9621594-7ee6-4aee-bd19-a012e8277f7d,462574e4-5502-485b-8c14-c91f607ea37c,ca811423-34bf-4221-98e6-993c4b423f4f,f3058017-bdc6-470d-9d3e-3cf69cf673fc,55b1be51-3a86-4e31-a6c9-c1e97463cb1d,
tch_20200623-215505_84,class_20200623-215505_84,fkUj-gh6m,5ac7c593-9c80-4c78-a68d-5740d9405535,3969c82d-5f93-4d79-928c-94129176e76d,b89f4664-df35-4175-8a10-ad35e87598a7,4780004a-1bf5-43a7-a841-62170074de5f,d5f39713-9bf0-42bf-a563-de43bf1f89b5,
tch_20200623-215505_87,class_20200623-215505_87,F7yb-cGje,206a15ec-7632-4ae6-a258-58e250659fd5,c327baa3-382e-4b2f-92c4-cea1327a50fe,8ab2d430-8bd3-443e-8490-b86799c62fde,08015c40-4878-4cc2-81aa-97650141d028,944e4f23-9e9e-4761-bd16-f4c0bb8a6f8f,
tch_20200623-215505_85,class_20200623-215505_85,Q6ai-N82c,39754d7d-ee4a-4a76-aeea-62bd7fff44cf,dc70574f-3fc0-4951-8812-01bc7bfe54ab,55bddfb9-9ead-4790-be28-0f072c9ee012,b9aa7076-5c45-4537-968c-ee2c6eae6941,e154bbf2-64e7-4063-8f0b-ed9a9581299f,
tch_20200623-215505_88,class_20200623-215505_88,4a8m-WmZE,01bca81a-6ef1-4399-af83-3941f42995ab,20025957-e64b-4a1d-b8c9-c55fb5691816,4e995b0f-5128-4c73-9c0c-12e068e876ea,6b2c77fa-834d-4262-b379-38c79d5796d2,4532ac9f-bb7c-4174-9793-b2cf5fc61784,
tch_20200623-215505_90,class_20200623-215505_90,C2iH-Xd42,22706211-a8da-4fc5-8065-e632e4eca002,5cb303b5-7bcb-4f8f-8d76-55565023d5eb,71095518-9dad-45fa-86e6-33cc1b1595d6,1ea73fa0-ffdd-4910-9b62-c665bb998c39,e67c9ecb-ac68-4e32-833a-ebdb6c18d013,
tch_20200623-215505_92,class_20200623-215505_92,G2cN-4tCA,196bea2b-0ce7-4c1d-9e2f-f14dca25d224,b1df0b4f-cf68-4f22-8ba1-64c171609600,0287d12d-df8d-4d0b-8b0a-7e6b4c4c2f28,2c196bc3-7f5f-4d78-85ce-d2694dadb7d2,08b92bf5-593f-49e5-886d-c6f5ed1d5958,
tch_20200623-215505_91,class_20200623-215505_91,wCoh-67rv,de0bfe53-dc58-4d11-9e01-50dde2febaa2,617a7b2b-afee-4857-99d9-24f04d5aa1a4,809bae3f-0f07-485c-aac6-1ae077e97c03,0e8e816e-7593-42f9-8c4e-1b15ce7496b0,269237c0-5954-45e5-aa20-dbef7225c831,
tch_20200623-215505_89,class_20200623-215505_89,QuvG-8Zu8,175323af-9822-424d-8b6e-7e024665cfb4,e1ec9675-920f-488e-9c9d-f8f4952a2ea4,2a10a8dc-d041-43fa-bfa4-739e8389acd7,3c476961-ccde-4552-ac88-b3e67eb09a12,0b5795d3-570e-4e8d-b039-58c52e2d2c5b,
tch_20200623-215505_93,class_20200623-215505_93,9J3Z-szho,516ee5a3-ea6a-44f6-9a09-02f5570b7c12,5a12133b-fc82-4885-bc46-05cfdc2d7d2c,916e8ac9-4cd8-47bb-bf1d-990137b02857,0a1df90e-e001-4c50-9c9f-cf27e5ecd4a7,d07e13f6-b4b6-431b-85d0-d3ecca08461c,
tch_20200623-215505_94,class_20200623-215505_94,towL-ho4u,af6134b2-2e1b-4e4d-a8b8-c3407f74120d,3e152dde-6c22-4a9a-9995-a68295ef8920,2d888139-528c-4f30-bac0-9a00b2575a25,ac32d541-511c-4455-a498-e2fa7098a16e,e3c3ef80-3294-457e-915b-4850417f5417,
tch_20200623-215505_98,class_20200623-215505_98,A9fK-WD3Q,f9498728-a657-4120-a7e4-ee1232d2e372,37d55c1b-d740-4211-b2dc-9b95d3606275,7b9e297a-0078-4897-85d5-4271534329fb,6419615c-0eed-4abe-b044-f86343174bf2,d1ace87f-1aec-4cd9-8577-4810fac5d826,
tch_20200623-215505_95,class_20200623-215505_95,Azw4-tCH8,87af2951-a34c-4115-8f9d-e11281c75336,1e207427-4231-4e87-bde6-b8ebc73d2ef2,6e5b7905-bcf5-44ab-9482-3807e185da7b,89d4ce87-a1b4-4ed0-874e-6173bc928bce,c78420ea-74a3-4f7b-8ddd-ea59bf2358ef,
tch_20200623-215505_97,class_20200623-215505_97,87FK-3vTu,214fdd9d-5174-47da-967c-8563109cc144,a8785b36-8f57-4fc5-95ab-c98dd60ff82a,fe5f4a8b-54d7-4852-8ae5-db651b9e0c56,8d979aa3-fae8-42db-bc32-53ff7ef87f0f,0265d530-09c3-4eb6-b715-7825c6242d1f,
tch_20200623-215505_96,class_20200623-215505_96,H6Zb-6tv3,78185809-566b-41d6-8464-9c9f58b42bc2,e3b512c1-7d21-438e-9d87-6244c99b0c09,b233f978-ad44-41ec-8dd6-0a417eba340b,b85c43be-2d69-4fbb-9e3b-57d995505e7f,12ce29b5-60f9-4929-a7cb-2fef82a9e628,
tch_20200623-215505_99,class_20200623-215505_99,ZWzn-qEWR,a6cf799d-8e69-4923-a99c-b9bf61048293,075c2b9b-2fe0-4554-8b2c-6f04741c99f9,d97ea903-d13d-419e-a13d-6e4e7d23c111,ff0c4464-76b0-4ad0-9ac2-3a7c44fd407e,40bef816-471e-4481-88e4-19afc518720a,
tch_20200623-215505_100,class_20200623-215505_100,vs3J-FbHZ,826b7c10-5096-4366-bf56-3d86a120f748,4d083d82-95a9-4b6d-9ae7-89325007d218,9be4802c-70da-46bd-951a-a2401b247c2d,a03d2b9a-3f15-4970-90ed-366ae83cd65b,d107d456-5611-412e-9b6e-3ee655d25a33,
tch_20200623-215505_101,class_20200623-215505_101,zYfa-8To2,6e2485c0-de36-4dbb-8214-e88ab88f069a,0a0b9b17-9d2a-481a-8aaf-42a1ca467fe9,c32edb4a-ab4d-4ad6-816b-3ba079fde483,ab9fe48d-dcb8-4a25-a908-03491af651f4,aaf22241-d5db-49a9-ba98-721324690bdf,
tch_20200623-215505_103,class_20200623-215505_103,3Uec-CVj4,2abcf7f5-e139-4ee5-a420-584681e8c015,1d31efec-30dc-4a23-bac0-8af75dd2f55c,b33e2327-bfaf-4e0e-9008-3e4531849e72,cad4bf45-5e12-4082-97a5-aed07ad1b264,1d46f4b0-70f2-4647-9480-86213a9c58e9,
tch_20200623-215505_104,class_20200623-215505_104,kZyD-86Vi,8e8e4037-274d-4bb2-9e10-8d80a832739b,2fb78fe7-b77f-4f15-83cf-69dc4ef50d35,0a7ce9a2-7d14-47cb-a190-50f7945c2590,f8076505-f443-40c9-943e-e9759392feab,353cecd1-218c-41bb-9a57-b26e4d1b3cee,
tch_20200623-215505_102,class_20200623-215505_102,Pga7-3KhZ,1d3d9b62-2b18-46f2-a417-4dd2d74355c4,59377ea7-35cd-4f49-9095-25a318989cae,57b2a650-3b08-426b-a049-6e2ecf0e8528,2b7d949c-4235-4081-b5fd-2c5bff77a55f,2a7ab25a-b781-457d-9b98-2dc2e7f1df54,
tch_20200623-215505_106,class_20200623-215505_106,MYT3-27tK,d249cea9-4fde-4848-873c-52e1fc3bdfaa,cdf09183-4b8e-450d-988b-45485b63068e,3abbff9b-48c8-4842-92a6-b246d6835fae,ab0a9d8e-fb57-4f53-973a-8f52aad25527,a31697c9-5b30-4aff-ad38-111a0199d216,
tch_20200623-215505_105,class_20200623-215505_105,GJcC-9y2y,62b12c28-9046-4a55-9751-a286f4345b42,c97ccd49-b5ea-4ed8-853b-08d20ed54109,12d7a352-bd56-4e1e-93d4-2a997c6931a8,5ca706f6-fd90-4ecc-95d9-0101c3d0bd8a,f0797a2c-1e8d-41c2-a01f-32d170c14466,
tch_20200623-215505_107,class_20200623-215505_107,JFjg-VKb7,823aeee6-03a3-4a83-ba71-42f12aeb383f,f7a4b835-c637-4605-bfd1-c9fd30540907,5ae6e90c-e02c-47d7-95f1-e901b8119413,506017ab-a361-4197-b43e-a400c6294140,b55504d1-e036-46ba-a28e-a442bff05d12,
tch_20200623-215505_108,class_20200623-215505_108,rWBX-3Kv8,fc6e58d0-3dd9-47c8-a970-e2f05172a940,f40b0ad0-0b38-4eb8-86bf-70c384e1d59b,f5431630-45df-42cb-be34-dc6ea4d20076,45a79ca3-2e62-4436-9176-e9504b878c0c,8bf5b35e-a3c4-4b5a-b2ac-5ca77e5b44d6,
tch_20200623-215505_109,class_20200623-215505_109,hCXf-tG6e,dbebf3bb-ebec-462f-8fb8-9cb67d721b20,2069fc84-ecd8-48b8-9469-538182772816,74c9f2c8-e87e-48a1-b129-0f44e59feb55,f78557c9-53bb-4128-8192-d6857bce4324,987ebe88-6bd8-458a-9361-727cef50db31,
tch_20200623-215505_113,class_20200623-215505_113,gKpN-B7zy,ee44ca40-8a9f-45a9-9d4a-1b0427d3399d,a22b876f-82bb-4790-a958-7320595f8a05,ca3c2f05-fd01-4ca1-a33f-a1a1d3079fb6,8d36a578-e9cf-4cfc-9734-01f70e650f0d,2b4e7bce-2edf-4b03-8ee2-2b6946d70fdb,
tch_20200623-215505_111,class_20200623-215505_111,mdCY-8629,f221ba2b-b36b-4c67-a599-0934266d5b75,7aebee55-a1f0-41f4-bbe9-1265a3473efa,412e96b2-8def-4be6-bbf7-efe35d112714,92683b25-0a9e-4b2b-9a48-f5e45b8491bb,8e401c32-6762-426d-a6a8-87649274441e,
tch_20200623-215505_110,class_20200623-215505_110,4eA9-WVaZ,a8b681f2-85a2-4e43-b89e-8921439d8458,47fc111c-f849-48bf-9788-9df0ae55fb4b,05d6b526-6d08-4e2f-a76a-6f0b0a35ad34,e33c027e-65b4-4c23-a3ed-f8ab336e1ff3,e89c76d0-9a23-4785-bcd6-0bd043b163e6,
tch_20200623-215505_114,class_20200623-215505_114,ExUm-brq9,d1d4a298-ff90-4679-b290-d61891b51650,e122f229-ce5e-4f99-af5b-40b4ba343b07,7861bba0-659b-441e-bb77-88d6147baec5,e8cdf155-a749-4536-925e-1f16d96a2287,3490384f-43f3-495f-ae03-4dc169f0902a,
tch_20200623-215505_112,class_20200623-215505_112,E2kd-7gjt,2494cc6b-34df-41b4-80df-ce711f2fa5c2,677107c9-30d2-424e-8f38-6491c3bf57fc,89fff5ea-edf6-446f-8666-c54900bad22c,e8c5ec39-0c37-4cea-8b86-82709de7a87a,ea716992-325c-449d-8c4b-9e00d907e454,
tch_20200623-215505_115,class_20200623-215505_115,YB4k-HatY,cbc481b5-7fd3-4e22-8a08-e7dd71cb5686,f1397181-a4a7-4c38-808f-27d1d0e7421f,823d962d-9acf-49b2-b659-ca9f298309e3,73ab86d0-dcac-44ac-93db-838075ac1099,8382d52a-c036-457d-8d12-ffc02831aa0c,
tch_20200623-215505_119,class_20200623-215505_119,egxy-eYWb,65cb9051-6205-4757-a6a3-503293437df4,a0141878-28f8-4297-b43a-7916a4732958,40aee630-98cf-4d2b-8780-36deea3fda02,6080db8e-0b89-4b4e-ae4a-7cba6d9d92f5,1d0646cf-7ab5-4b3e-ae74-15cc79c9ad32,
tch_20200623-215505_118,class_20200623-215505_118,VJqu-483q,22a9c5a1-16da-46ce-b240-4db5189097ba,0308793a-6c05-4775-b810-a7fa19e65f57,0bf6a42b-dd9e-48bb-a36d-788d72fa978a,99ec7994-e86d-45db-89c9-4acc9687fb99,30e0e06f-91a8-4b88-a7cf-a63812f0a179,
tch_20200623-215505_116,class_20200623-215505_116,8Zpu-4VL6,ba6d8fdc-9ee0-4390-b5b7-64867bfcba31,1750f084-86b4-470f-ab1a-c1b3e92dc7cb,d51cb7b5-0037-478a-ba83-24b40ae626ad,8bfae3dc-9e8c-4ac8-8d6e-685c023f852a,2bdb30bf-9fb1-4066-8b03-c26947c325ef,
tch_20200623-215505_117,class_20200623-215505_117,iHmC-Fn2W,7bad2f20-461e-44f8-a94a-e7d886c674b8,78c78186-3145-4bbc-8c49-ababeb1db4cf,1de5146f-6c2c-48bb-b9fe-b06dd98d3a5e,3496a42d-333c-4088-952a-4b03a412f48b,bced6f5d-432d-4336-8657-421089aa9146,
tch_20200623-215505_120,class_20200623-215505_120,eLnk-NK2J,fa8063fc-15d0-4317-b2d5-c060ec7e37df,2262bbb8-f747-4ad7-b50c-f261b98cbec2,ece2a63b-b650-4f9f-8a82-0183ab1a1c46,c1e0ab32-50a4-4e32-abbf-6ec5e2751faa,faeb5a9f-f5f7-429a-b04b-5e9e69d64b3a,
tch_20200623-215505_124,class_20200623-215505_124,9V8U-F46P,dcf2585c-4636-441e-a91e-f714b6230a17,ee752cb1-7a5a-4a9d-99fa-eb195d08569c,182aa5ff-b5e2-435a-a8e5-c83d6468c928,3cd01a1e-3fc4-4777-908f-e2d4560adde9,0a12ded9-764a-4c97-b083-cf8f634e91fa,
tch_20200623-215505_122,class_20200623-215505_122,Zx34-3w3h,eceec1e9-0ee4-4222-99fb-92db50b3d992,e4da7073-2c23-4881-b19c-5fbbeeddaf4b,2d1f2fbf-b545-4571-bb70-85b0acb94b2e,abc38a1f-c082-402d-a6d3-8cd66b2d1eb7,4d78b51f-cff6-474a-8e56-694fcd2db315,
tch_20200623-215505_125,class_20200623-215505_125,Z8MQ-3Wdq,9c06124c-6e98-4a09-9ae2-17ed7ebec42c,49da382f-85cc-4022-9950-786dbd240f47,265608d6-066b-4e7e-b62a-8344b1a8d873,476d9733-ee26-48c8-a06d-2ae3cd259348,00efe3ed-91dd-4f90-8917-b5b1b4231463,
tch_20200623-215505_121,class_20200623-215505_121,aycD-B2yU,671a8f66-fa78-46d0-ab2b-835721e68b5c,943e552a-8491-4fac-9d2f-7d6c653016f8,a3622b1c-0278-4882-ac8c-d6941b5a9818,b11572e9-5761-4cb7-adf6-70ee21b195cb,34e84d64-7f73-4974-9e45-31a41e256d04,
tch_20200623-215505_123,class_20200623-215505_123,z97Z-eF4K,6db39a49-0940-46c7-8364-7ae924eff417,b8414916-f879-41d9-b176-601b686f09e2,d6aa9f68-6a67-4f01-b44f-0289d46aceeb,b5c25878-95b3-45d2-ac1e-ebd5280785ff,ba498a7d-84fa-43f1-adaf-1071ce08967f,
tch_20200623-215505_126,class_20200623-215505_126,3x4B-67EL,6aa7402a-d575-42b3-8d1d-fe5ed0205c74,74a8354a-8d8e-40a7-b38c-5cda08c9bac9,70f0078a-3b3c-4196-94f5-b68de113f7e9,91225b1d-bbd1-4468-8ff1-6093cfe2f123,11bafa6f-80c6-470e-83c8-5e44cb175e29,
tch_20200623-215505_128,class_20200623-215505_128,x8bP-BzKb,1eb1d405-c729-45c2-a21d-145ab4ba0629,6e2086bf-1c94-452f-adb2-43f6d783eaa9,a69458a8-8bd2-40f1-9419-85c59ee320a0,891ab041-8984-4071-8982-b5766c85dff7,25af560f-e899-4907-891c-955e7ef1b901,
tch_20200623-215505_127,class_20200623-215505_127,94F4-9J36,4368cb82-83d0-4342-9e39-9316bac2f1b0,042c9827-ca69-4a76-b67a-a4be014846cf,a5d303db-5b68-4f46-b80c-c04bffb1e213,95c1f2e7-053c-4927-b8c8-a952d2ae5308,f2589140-4460-432c-83a9-975391d36701,
tch_20200623-215505_131,class_20200623-215505_131,9v8U-yQCV,9f2a6580-2c4c-480d-83b7-c265f8cf51f1,3b911293-c3ad-4bef-9ce3-4286321cdddf,71f1dab8-0bd2-45a0-9706-6982176f2e2f,bb8d2cd6-e59c-464b-a98b-8a9f6304a5cf,2576694a-79af-4e94-bdee-912b47d50e58,
tch_20200623-215505_129,class_20200623-215505_129,A8JY-23sT,d124bb48-9b16-4801-981e-2084c2821374,3887fd55-41eb-4d97-9f47-fa01cb69ad31,d9e5e074-3948-43ca-a436-87a7a89e3581,9e12a73b-21ba-41f8-b56d-dd517343f9c6,b44a7523-43ea-44fb-8565-b32436b1252b,
tch_20200623-215505_130,class_20200623-215505_130,923n-iFL4,ad3c2bf0-00ac-4a4d-b1d2-36cd31f58463,b82339b9-fe63-465e-b194-8948f75300a5,29f03830-38f2-45b8-8b46-5a1082a2fa56,31a8dc03-d310-4ab4-b26e-10dcdbb19079,3c8febc3-fce8-4ef6-9247-9ffb4698f058,
tch_20200623-215505_132,class_20200623-215505_132,e3xb-8N6K,072ea053-7283-4485-a9bb-a22555b90f33,2b09f730-5bc6-4b04-b6e6-480411cf4a8a,909871da-fa20-43ed-8248-950caeda4a6e,52f2a712-90a8-42e6-baa7-4e31950d5a30,92decb2f-b3c5-4769-88a0-53a530923c12,
tch_20200623-215505_133,class_20200623-215505_133,zfAe-v2ec,90c6ff45-24be-4936-8101-2881f00268b0,17f7cb9f-fee1-4f7e-959a-84f8d01a163e,8b18d0ca-70a0-4131-af24-83445cf1153f,154ab93b-161b-4b46-8e3e-a0b80c3d0437,4c2e4f80-f95d-4aea-8a38-f4a62a0c3034,
tch_20200623-215505_134,class_20200623-215505_134,Q2MC-jMi9,a4837999-15ba-46b9-a839-24231216f1e1,e0423a61-c9de-41b5-a4c0-8e9990183abd,5e6637af-1271-4391-b10c-82d5789b2397,2d3148b7-2969-41cd-be20-42829ce337a8,c5245e58-7a0b-4193-9e9d-8ff0993d0d90,
tch_20200623-215505_135,class_20200623-215505_135,eGNT-gey8,a01a450a-982e-4d88-87ee-7265cff6b4ae,632d4948-cbc1-43fc-b1a0-a82e048c873c,c446dbd0-2f81-4cc8-9d0c-af8dd025c315,81d1ac02-a698-4617-9e1e-88896c7bb5cf,900829d7-9a4e-420f-996d-9bfc5c483cf1,
tch_20200623-215505_136,class_20200623-215505_136,qJ7J-x73n,f39a723a-31a8-4bc7-a57a-084ad0ebeb4b,36bf530e-a478-4d92-9b04-ed17d786aff1,8f4cb4b7-687c-43f5-89dc-f466a4455778,22e75bb0-2771-4b5b-9958-54e221314292,988d5511-5ecf-4172-b58c-a85c9c41f6ed,
tch_20200623-215505_137,class_20200623-215505_137,YnAf-3Cah,62830197-f650-4981-a9bd-e6f03411ee66,9f02cd91-2dbf-4e27-9f68-1d7c3915082f,234fe492-7766-4453-849e-338939d04fdd,46b757ca-033f-407b-8448-871b05307ba4,174c67e0-5b26-486a-aa8c-91da35ec4923,
tch_20200623-215505_138,class_20200623-215505_138,R64r-ZM2h,3c236d05-c3f3-460d-adf1-eb4b47e65f0e,e436ccac-40c0-4595-94e2-22486ab77bce,23ec3787-19b1-428d-9016-bd5628db1170,c6b293fe-2324-4e99-9c02-690841513675,660fa893-180d-4c03-81d1-8563a107d802,
tch_20200623-215505_139,class_20200623-215505_139,GhWB-zTH6,69511e54-7aeb-450b-aab6-e027841c0c82,7b51a74e-6fdc-4210-a112-ea493c1c84d8,9d998134-9a26-4193-ab46-be37e2fc2c8c,2221f7dc-a2fe-44b9-a9b9-9d1d5eacb6b2,ab72896c-893e-41a4-9db5-ac24a2e45978,
tch_20200623-215505_141,class_20200623-215505_141,URqx-87ig,64748d36-4843-4f50-b299-8894794dc599,d8ee0fab-c948-4427-b656-73f8b0ed339d,028f30ff-a3b5-4b50-b975-ebc1beb41aeb,d91ea9cf-17af-477e-b018-7432757f90d1,8e97dbda-d098-4d74-bcbe-5dbd76c56bb4,
tch_20200623-215505_140,class_20200623-215505_140,rPwy-7d7V,94ef0112-3c2f-4185-afb6-541001e6e46d,1e6d67cb-1165-4968-b8d0-25bad3c9f91a,336baa67-cec4-4a68-ac8d-22cd17e744df,f960d865-970d-4cfe-8df6-a94091e61f5a,70cdce78-f52e-41dd-8598-d45589e84c7b,
tch_20200623-215505_142,class_20200623-215505_142,74gf-J78T,eca16233-7bed-4982-ab6e-99c565fbc0fa,35f025f7-748f-4ca7-8059-8a88c0693fd3,9c6301cf-393a-421b-bb2f-a60abb501647,6c62f874-8e11-4d75-9a78-b459efbd7dc1,4cce994a-83ab-4590-8672-49ad6dac1c0d,
tch_20200623-215505_143,class_20200623-215505_143,wBb4-TB7c,73f78886-07e9-4b0a-97c0-aff424a3bdb0,a248e48f-6c26-48f6-aa78-67eb5bec2c4f,040c70e9-97ca-4677-bc43-5b16c01ef53a,d4604c21-dbb3-4f23-bac4-91e146e5b38c,62db16f7-b651-438d-b5d1-ff1194cdb501,
tch_20200623-215505_144,class_20200623-215505_144,FWz4-gVNE,381a0d77-2df8-4639-9b6a-1681f68d30d0,95a095dc-8333-4e19-94c4-d02ae85b24ff,562ca432-2f78-4fb2-b824-78962fc1fe7e,ed8f4fcc-4f4d-48fb-8a5f-af564baf8e9d,99f9deaa-a363-44e5-96fe-89710e3f9be6,
tch_20200623-215505_145,class_20200623-215505_145,dbi4-f6ni,ccef98bc-3c95-499f-be11-1c3afc2cc9bf,8d27197c-6ec5-4d13-ac0a-3583a5d19bda,5fca6b87-c6e4-4eb2-838b-d85ecf86baed,76a9e3ce-6072-43e7-ae97-6aaf9dc7f73b,c7bde6bf-5a7b-40ed-adab-1da4d5fdebb6,
tch_20200623-215505_148,class_20200623-215505_148,G96c-7j2a,55281223-9625-4316-b26a-91bd661f5fc3,c7918f2f-8630-4f99-bbdc-64070e4bdb9b,cc5cd0b1-f6c5-4f6b-b01d-a9575dd038be,b125229e-bb57-42f0-90f6-584f4d1f0de7,0c9ba63e-2eb2-4a3b-92d6-2ff440d4649d,
tch_20200623-215505_147,class_20200623-215505_147,89h8-y64d,19ac1b49-c2df-41a2-97ef-0d80c67066ff,6f4602a0-393f-4af3-a7b6-fda185c5de5b,63f3cf98-94d9-4e61-b80a-ae0776869991,276878e7-37f4-4bdb-b4a9-8fe422ed5e8f,356f1691-bf5e-4a7c-a4fb-750078243467,
tch_20200623-215505_146,class_20200623-215505_146,7izn-g29Q,786251f4-2484-41ce-9589-85fb26259c26,432697bf-47a1-4fa5-b969-f174d7244810,99093e62-1085-4157-bf8b-4c6811d701e2,ee1c6139-b1fb-4c4c-9d00-e65e9d545cd7,ba7c9b4f-b826-4da3-81d6-a80c349e658e,
tch_20200623-215505_150,class_20200623-215505_150,vbm8-VUT4,4a5cdfae-2e67-4e72-bb51-3bcc6e6b88a9,f750f4e7-838a-49dd-8957-86b24793833e,e63adc2d-c976-4f67-86c0-b04deb374905,9ccc1997-64ad-4dc6-9c62-7e10ded5dcf9,91644f71-c1ab-4071-a0dc-d42382ddc57f,
tch_20200623-215505_151,class_20200623-215505_151,dsJF-Bv6u,dfec9704-e07e-4d95-9f93-606656cdd783,bc95654c-15ef-4ccb-8114-7755a64be487,d972167a-8f85-42a3-b738-913daa3ef78d,da15c327-3d23-450a-aab4-78703ba854de,8972a1e6-f5ed-4f6f-afb0-4720b8072b82,
tch_20200623-215505_149,class_20200623-215505_149,hTF7-Ric8,fb11064c-3d54-4c5d-a014-0669037101c4,6e29fb03-7738-4df3-be66-cabd481e6c6c,f5d31b40-4768-4373-9363-153077fe4b89,105c41e8-3e99-4e09-81e5-a353cd0dda74,f733036e-1d45-4788-8fab-730081829835,
tch_20200623-215505_152,class_20200623-215505_152,rZew-mVce,7c683112-b54c-4e8d-9681-b6ae9034e079,a4af6be7-f436-42f1-a582-6629f5efef6e,a917743b-7ab7-4960-94bb-23a9a3729afc,2725d961-6a73-44e7-b76a-1b6746a945b4,0b3ad0b4-a3cd-4bbb-b45d-fc4720d65b84,
tch_20200623-215505_153,class_20200623-215505_153,7hLz-4N67,64d0cdaa-69d7-4257-8986-3d6b6f7003d2,ddef1dab-8fac-4b25-907b-af18b6b2ac80,75e10aa2-f4de-43b7-a980-015744509cf7,c6a351d9-d401-4126-828a-2e49cef8b184,f5134465-8cfe-44aa-9d67-d1f10e1741c7,
tch_20200623-215505_156,class_20200623-215505_156,y9mQ-2XPr,b946aa8d-162f-46c5-9fda-b644529fa373,d6920d22-8a40-439b-b60b-e15f8fe63577,3993bb29-cedb-4346-97b1-e7e4e9cb1af5,d98743e8-e9d0-4b40-8393-dd9a9da990e1,aa85f3a3-3dc0-4b72-8ee1-780162056886,
tch_20200623-215505_155,class_20200623-215505_155,8rAz-dCux,2a69cdd7-dbea-46ea-ad73-3bde1baf6774,cac2301a-7c11-497a-ac7d-961f3deff84c,d187d677-7a32-4a9b-b093-824c757e6a7b,764c81a9-9bb1-44d3-b7ec-67e4eed58886,46b2f767-d0bf-48d7-8b6a-268cb0c40e17,
tch_20200623-215505_154,class_20200623-215505_154,E96D-ziQ3,c801f3d4-06ce-4c51-b5df-96ec559ed008,28326987-cac7-49ca-8bde-6526f3573e6e,c5e6cff4-2ebd-4853-b17b-cfb7bb9800e8,f4cbf02d-cfe0-4e45-b44e-0eaa9e1f13de,ceb6a050-a768-46be-a993-fa35f6465e30,
tch_20200623-215505_158,class_20200623-215505_158,mYgf-FJ4G,208c6b77-ad68-4db6-8c9f-b12ee9c48342,caff5ccc-cc91-4056-ac68-ae7f652a3d3c,509748f9-ab8b-4e19-a1a9-11fac4f22409,df769b71-01fe-4922-944a-31a69f6f42a7,6b00b2aa-a105-4b82-a2bc-f011aaa319d8,
tch_20200623-215505_157,class_20200623-215505_157,W4fm-Bw6H,e98a2e54-9675-4eba-aa28-07a70fc7ed93,4efc7f21-26e3-4e33-9154-c926301aeda1,0e3b757c-7000-4699-a9df-33feed92f122,428741cc-4b73-49db-afa9-cebfd146f4a7,69225532-f6d0-4dc2-8c07-603ad20be303,
tch_20200623-215505_160,class_20200623-215505_160,jN92-D3LF,c10b5e08-580c-44dd-9f7b-c767c920cceb,59c61d1c-147a-43bd-aee4-66ee1f0025d8,94534f8e-56b1-4427-a1cc-1b7d520d8302,310edc9f-218f-418a-973c-af5b1e594ae7,33f2b199-5866-4106-b2a1-0f69ba4e381d,
tch_20200623-215505_159,class_20200623-215505_159,Em9E-879e,4234bcdd-4e6c-4080-b24e-22cacbbfc240,9ea31578-9234-4612-84f6-7c2ad8dd9d36,16522c93-6f75-4c59-8e94-b3c0156e4d47,fcb83316-6aa0-4a01-91ec-af6e7cb488ce,23146e9c-cf1a-4ee8-9bc0-ff658f6b1644,
tch_20200623-215505_161,class_20200623-215505_161,f96Z-YbFj,82f280c1-9e61-478a-a11a-7adea7db2a11,519a6f1f-e798-48de-96d4-bc05c20f045a,efcd28cd-ed43-4b9d-ae2f-365726ebd4d7,9926e011-a5d5-42b7-bd1c-4e7ec7d8079e,6496e0d9-bf49-47ff-8291-a522a74d8ef1,
tch_20200623-215505_162,class_20200623-215505_162,eDVn-7i8E,be530a64-b4ff-47ae-bd11-5a5ec3feb73b,79a44b94-5b41-48e7-99fb-bfbf0061ab5f,22506ceb-1d2b-4a95-b4ef-6b80e90380fd,fa14d5c6-d904-4f57-a9f5-1670ee890a20,30cf121b-5ed9-47a5-9733-57ae46803775,
tch_20200623-215505_163,class_20200623-215505_163,khz9-aZyj,842df98a-9425-4977-99a9-c78b619769e3,a88f82a1-8493-4149-935d-a3e14e1e8fea,31feb774-dda0-47ca-805f-6eb01b5b91bb,fd4f1f8a-c2b4-4667-ae1c-4122fc541f5d,ee29195d-3286-4b25-a97b-0f72a326a5fb,
tch_20200623-215505_164,class_20200623-215505_164,e6Ge-7GpT,cc6d13fb-2969-4fec-bdf3-048a6fe98fb3,0f669e97-0776-49db-9072-bec327b5e8f0,72e42e5a-f771-48f4-b3b9-b7ff5f9fb204,8184848e-9bc7-466b-8b97-d8a0dbf3244f,8b72498c-cf12-4141-b876-77c1739e3d62,
