tchextuserid,studentuserid1,stdextuserid,classcode
tch_20220818-180043_62,22fadd5a-cac3-434d-895f-639edde11ccc,std_1660852710918_62,fdij-YaBm
tch_20220818-180043_59,0603954d-5031-4b73-b3ed-e9b333bfde6b,std_1660852714588_59,43X7-uQ93
tch_20220818-180043_61,1fd014a7-ca33-4ae3-9d18-c424a589b239,std_1660852725887_61,cH6e-Pg6U
tch_20220818-180043_58,168add8c-c3ba-465c-9f35-be808c715561,std_1660852725199_58,f2zy-6YG3
tch_20220818-180043_63,244cb984-a12b-4276-b3a0-39eb098b5daf,std_1660852726935_63,p2mE-xbrx
tch_20220818-180043_60,3a97aa84-eb88-48b0-a4c3-2b236c98d680,std_1660852733913_60,Eh78-C7hP
tch_20220818-180043_62,709fb441-884e-48fb-81da-0642bf6272bc,std_1660852736264_62,fdij-YaBm
tch_20220818-180043_64,fb78ee1b-b184-4d55-a6b7-4c7713beab9b,std_1660852742934_64,2J92-4H63
tch_20220818-180043_59,7b168840-e5aa-4000-b834-f3a6ab4fb5bc,std_1660852737037_59,43X7-uQ93
tch_20220818-180043_61,30f5eb88-073c-4ce4-9ae3-8eb7d550a604,std_1660852749533_61,cH6e-Pg6U
tch_20220818-180043_63,6fd4079c-2830-4614-b1c1-6d8d914d3f1e,std_1660852754376_63,p2mE-xbrx
tch_20220818-180043_65,0cd3d524-b64f-4890-a5ab-b5c6339df772,std_1660852758950_65,6zkV-aeKw
tch_20220818-180043_60,74efcc25-4547-425a-886a-780b55f9a620,std_1660852760657_60,Eh78-C7hP
tch_20220818-180043_62,98f30d2c-2bf6-4f86-a21a-4ec55900f757,std_1660852762689_62,fdij-YaBm
tch_20220818-180043_64,810ee635-f266-4c01-936a-f4aae6342174,std_1660852767289_64,2J92-4H63
tch_20220818-180043_66,6bed52a8-1fd9-4a7b-bca3-eac114be9119,std_1660852774950_66,8oR2-Cpj2
tch_20220818-180043_61,57827063-05c1-4ad9-8726-bc1e75a7d391,std_1660852775231_61,cH6e-Pg6U
tch_20220818-180043_63,837c9354-4e4d-4561-8d05-357d76cd1f91,std_1660852781712_63,p2mE-xbrx
tch_20220818-180043_65,5d850062-4107-4417-bca7-d80643bf402f,std_1660852787298_65,6zkV-aeKw
tch_20220818-180043_62,b4179a86-ad79-47ed-9d2f-56e1dbcd9792,std_1660852788765_62,fdij-YaBm
tch_20220818-180043_67,68bc04e2-e7e9-4ebe-943a-349e54aa28af,std_1660852790965_67,f62Z-scXc
tch_20220818-180043_64,79627ef4-d8d6-40b3-8fd7-0a138601afb8,std_1660852791575_64,2J92-4H63
tch_20220818-180043_66,e6f3ea5b-1be3-47a5-bcea-b14d7ed8ec3d,std_1660852800722_66,8oR2-Cpj2
tch_20220818-180043_63,de483786-e49e-433a-90ff-bd1ad938bbab,std_1660852808136_63,p2mE-xbrx
tch_20220818-180043_68,6163461e-66eb-421d-9abf-c8db912506f1,std_1660852806965_68,QALX-tzqd
tch_20220818-180043_65,4ab0173c-82b2-4ce8-8488-5e822e44f5b6,std_1660852813600_65,6zkV-aeKw
tch_20220818-180043_67,293d2974-f03d-47af-bd25-4abea3608555,std_1660852817085_67,f62Z-scXc
tch_20220818-180043_64,efa12852-fb92-43ec-97d4-a2d12a28b3b7,std_1660852822833_64,2J92-4H63
tch_20220818-180043_69,587247be-411b-4571-bf42-f66db747d853,std_1660852822980_69,E6E7-cPaG
tch_20220818-180043_66,6948beb3-263e-4283-a7f5-c13078d8e9b6,std_1660852823946_66,8oR2-Cpj2
tch_20220818-180043_68,921944f8-5951-41e0-89ec-7a6f261300e6,std_1660852835544_68,QALX-tzqd
tch_20220818-180043_70,7dd01bae-ac97-4bb1-b810-ee9ea9397311,std_1660852838996_70,mJ4N-V9VW
tch_20220818-180043_65,4ff16667-c598-43b0-ac80-d9a93db6a32a,std_1660852842430_65,6zkV-aeKw
tch_20220818-180043_67,2c377cb7-4b3d-4f24-b885-f0c65f5283a7,std_1660852843223_67,f62Z-scXc
tch_20220818-180043_69,3de4efeb-201e-458e-a2f4-faa6ee0075f5,std_1660852847215_69,E6E7-cPaG
tch_20220818-180043_71,72837497-cc32-42fa-b79e-6dc787f07c87,std_1660852854997_71,38u6-bL6x
tch_20220818-180043_66,8f337722-7015-4238-a496-aa8ab655ec4d,std_1660852851475_66,8oR2-Cpj2
tch_20220818-180043_68,9a09fbbd-6b09-49c9-8f3a-e1f95e645590,std_1660852860685_68,QALX-tzqd
tch_20220818-180043_70,30f89a7a-d427-4869-8ae5-39aa915ab602,std_1660852865243_70,mJ4N-V9VW
tch_20220818-180043_72,9316e562-3a73-4cee-b7d0-cd23e6ad67dd,std_1660852871012_72,dr2u-c7Ew
tch_20220818-180043_67,b4797a48-aeec-4eff-80d5-243ae22c4553,std_1660852871092_67,f62Z-scXc
tch_20220818-180043_69,5d29ae66-1b1e-4917-9629-01db906608de,std_1660852873623_69,E6E7-cPaG
tch_20220818-180043_71,ef2331ee-5a7c-437b-b3b8-176c81cbfe1f,std_1660852880296_71,38u6-bL6x
tch_20220818-180043_73,926a0eb1-2961-493a-8137-5a0dddd1394f,std_1660852887012_73,PWAe-86sN
tch_20220818-180043_68,fbf9eea5-93e5-44da-9e9e-22868957f284,std_1660852888150_68,QALX-tzqd
tch_20220818-180043_70,30d43b74-c2e6-4372-b9cf-5022a48bf8e7,std_1660852892882_70,mJ4N-V9VW
tch_20220818-180043_72,6b498fc9-65ca-4e98-84c2-0708be005540,std_1660852897484_72,dr2u-c7Ew
tch_20220818-180043_69,26730fd5-4718-4049-b1f0-386317981c04,std_1660852902420_69,E6E7-cPaG
tch_20220818-180043_74,4a88a949-2cf4-4079-be42-2da50cbfed81,std_1660852903028_74,BsD9-2XAu
tch_20220818-180043_73,770d6910-da53-432a-b9ad-e4bccfcbae10,std_1660852909917_73,PWAe-86sN
tch_20220818-180043_71,14aa46c4-4c22-4bb4-a9fd-ce530030d6eb,std_1660852907374_71,38u6-bL6x
tch_20220818-180043_75,be703827-2629-4a3f-856c-820d9c97ad6d,std_1660852919029_75,rUt2-d43u
tch_20220818-180043_70,ab455d57-58ea-4519-992d-6164c243af36,std_1660852919176_70,mJ4N-V9VW
tch_20220818-180043_72,7fe54036-972a-47d6-8780-27169823b12f,std_1660852924181_72,dr2u-c7Ew
tch_20220818-180043_74,029eed1a-b638-4b3f-a5e6-366818406f92,std_1660852930025_74,BsD9-2XAu
tch_20220818-180043_71,20cad01b-0934-49fd-8509-a4976f7d371f,std_1660852934172_71,38u6-bL6x
tch_20220818-180043_76,e2c37f14-2d53-4e42-b869-ea00b90b3012,std_1660852935043_76,78q4-kskJ
tch_20220818-180043_73,c613ece8-33ae-46e7-b741-0618d2ddff1d,std_1660852933693_73,PWAe-86sN
tch_20220818-180043_75,58d0c392-9823-4a5d-86c9-3d2021005a27,std_1660852942695_75,rUt2-d43u
tch_20220818-180043_77,bee8605b-1895-437e-89ed-a744f2ba2e41,std_1660852951044_77,R26b-9xu7
tch_20220818-180043_72,9ee8c7be-c6f3-4a40-95f4-f82967db6da9,std_1660852952122_72,dr2u-c7Ew
tch_20220818-180043_74,aa12d024-dd85-49de-97f3-691ca8a86b13,std_1660852953875_74,BsD9-2XAu
tch_20220818-180043_76,3c24cd48-dd30-454e-bd11-de3b497b009c,std_1660852962836_76,78q4-kskJ
tch_20220818-180043_73,4c016b23-4047-4d2a-8888-936fd1142701,std_1660852963788_73,PWAe-86sN
tch_20220818-180043_78,cdc962f6-87e4-4feb-977e-23a5c61b4d48,std_1660852967059_78,Pg8Y-u3bz
tch_20220818-180043_75,6e7fd270-6260-4962-8b4d-9b54448afe2f,std_1660852968088_75,rUt2-d43u
tch_20220818-180043_77,78a67706-e42f-4e59-b2a2-765ba694faaa,std_1660852976041_77,R26b-9xu7
tch_20220818-180043_74,b74bcc0a-cff5-4e46-9527-be741954855e,std_1660852981457_74,BsD9-2XAu
tch_20220818-180043_79,500926f8-a541-4a6f-b7d9-66759e48a2b3,std_1660852983059_79,Z8f2-qm3u
tch_20220818-180043_76,2c577692-695c-4568-be0a-0feb6ebaeebf,std_1660852988505_76,78q4-kskJ
tch_20220818-180043_78,e71b8f7a-11d8-47b5-9cef-d8d45cc115b8,std_1660852990512_78,Pg8Y-u3bz
tch_20220818-180043_77,5b773b91-2eed-4718-9019-a465464c6636,std_1660852998643_77,R26b-9xu7
tch_20220818-180043_75,546c437a-9861-4076-b3bf-ad0e33ccc603,std_1660852997206_75,rUt2-d43u
tch_20220818-180043_80,f22a67e6-6873-4f9a-80d7-a50035771a78,std_1660852999074_80,Pygz-ePV7
tch_20220818-180043_79,ec4f07ec-1458-4c9b-9d48-18ae5dcc3c0a,std_1660853008585_79,Z8f2-qm3u
tch_20220818-180043_76,1cd8ea13-f23e-405b-bc5c-8e7705515835,std_1660853013060_76,78q4-kskJ
tch_20220818-180043_81,17764a2b-0ded-4817-bf11-a9777dbf4ed0,std_1660853015075_81,2PAG-78V6
tch_20220818-180043_78,f60d4008-0cbd-4c1c-a15b-0b10fa63adb3,std_1660853018691_78,Pg8Y-u3bz
tch_20220818-180043_77,adc27169-47d5-4d5d-a6b9-706f6c845a1c,std_1660853023285_77,R26b-9xu7
tch_20220818-180043_80,85897b1e-2f7b-473e-b12e-6f9f30444fe6,std_1660853025685_80,Pygz-ePV7
tch_20220818-180043_82,dc830c2b-87ea-48e0-a96c-d89286b9386d,std_1660853031091_82,H2rT-jhJ6
tch_20220818-180043_79,b3a0de88-0141-40ac-b335-7317bd3f43b7,std_1660853039088_79,Z8f2-qm3u
tch_20220818-180043_81,b1f9a0b1-7894-4aef-8dd7-e7c0fcafbc73,std_1660853043183_81,2PAG-78V6
tch_20220818-180043_83,98dc8130-1134-464f-a681-f677eaed444f,std_1660853047091_83,PwQ6-4bU2
tch_20220818-180043_80,0d8c42fa-22a8-4c0a-b686-ee46476fcb3d,std_1660853051789_80,Pygz-ePV7
tch_20220818-180043_78,94b1c7e4-acb1-4b49-84ab-56a2dedaadc1,std_1660853048359_78,Pg8Y-u3bz
tch_20220818-180043_82,938486cd-d049-4002-b8ce-8ea4f60ccbb2,std_1660853057702_82,H2rT-jhJ6
tch_20220818-180043_84,33d3528f-8572-4642-8386-442fcf2d610b,std_1660853063107_84,8MrE-R3XP
tch_20220818-180043_79,a73d6f0c-26a1-48b3-9a7b-b7e31b8ee5e5,std_1660853066249_79,Z8f2-qm3u
tch_20220818-180043_81,f8f256d2-12a0-43cb-add7-5f1fa70ca68e,std_1660853067187_81,2PAG-78V6
tch_20220818-180043_83,915228d6-a919-44fc-8f85-8073c84bad0a,std_1660853074663_83,PwQ6-4bU2
tch_20220818-180043_85,26aec8a4-8a5e-40dc-a8f7-5180df62a751,std_1660853079106_85,r6U8-U969
tch_20220818-180043_80,659dc48e-3f69-40ff-af4e-67281a9ca235,std_1660853078063_80,Pygz-ePV7
tch_20220818-180043_82,bfebf693-bab4-420e-b2bb-58c7860f576f,std_1660853087246_82,H2rT-jhJ6
tch_20220818-180043_84,1033b7a0-afc7-4db7-bc4e-2bbd1f56108c,std_1660853091969_84,8MrE-R3XP
tch_20220818-180043_86,9c6c6da9-3a49-4417-824e-0aaade502bcc,std_1660853095127_86,Vk7R-oXDu
tch_20220818-180043_81,74b10a58-1723-4dbf-8ffd-c559aeaa6d21,std_1660853095636_81,2PAG-78V6
tch_20220818-180043_83,c05c0b4f-152a-4761-87ac-bfcde93d5d34,std_1660853098145_83,PwQ6-4bU2
tch_20220818-180043_85,65d05988-07c8-4d8f-8bca-88c827d49a35,std_1660853106669_85,r6U8-U969
tch_20220818-180043_87,b4b9b377-118c-4198-be44-246668efb8e7,std_1660853111138_87,4XBV-pym4
tch_20220818-180043_82,7b546c27-d01a-4ce2-a753-f06c985d55d4,std_1660853114204_82,H2rT-jhJ6
tch_20220818-180043_84,5bf7faf8-404c-4970-93fc-5eb96032c20c,std_1660853116729_84,8MrE-R3XP
tch_20220818-180043_86,64d6630c-91d9-4c4a-91fd-8207e515b9f1,std_1660853119544_86,Vk7R-oXDu
tch_20220818-180043_83,39c52813-5da4-425a-932f-70b855e161ce,std_1660853125128_83,PwQ6-4bU2
tch_20220818-180043_88,725302da-c3f7-4f06-b9ad-bbe4ea01cdcd,std_1660853127153_88,36gz-pKeo
tch_20220818-180043_85,015bd187-1c4e-43cf-8e2d-996320e9e517,std_1660853134465_85,r6U8-U969
tch_20220818-180043_87,8d8ca99d-61a3-4c96-a1a5-cb690f2799ba,std_1660853136116_87,4XBV-pym4
tch_20220818-180043_89,e575fa15-b019-4939-9293-9cc4e7ecd0f2,std_1660853143161_89,28F3-h4Zn
tch_20220818-180043_84,b9d4f52d-38b0-4d4c-988d-a9d0322a7d2f,std_1660853143288_84,8MrE-R3XP
tch_20220818-180043_86,6c1c79f7-8d88-4d52-96b5-71e898c36091,std_1660853146011_86,Vk7R-oXDu
tch_20220818-180043_90,b29302ab-a52b-41ba-b8cf-0fd18cd7e87b,std_1660853159171_90,LRo6-h6rR
tch_20220818-180043_88,a9e8e4e4-99dd-4ead-b083-359ad14e2260,std_1660853152753_88,36gz-pKeo
tch_20220818-180043_85,dd14cb75-ad31-4128-8ed1-87881969fea9,std_1660853160776_85,r6U8-U969
tch_20220818-180043_89,65a2f1a4-c0a0-4380-9a37-e2128a867b6a,std_1660853168027_89,28F3-h4Zn
tch_20220818-180043_87,70c576e9-667d-4589-9cc0-77697951ed08,std_1660853166721_87,4XBV-pym4
tch_20220818-180043_86,581833c8-2091-4bb8-8115-29f4feb084fd,std_1660853175410_86,Vk7R-oXDu
tch_20220818-180043_91,a85c76e4-fefd-4b14-9e5c-07879f3ab5a1,std_1660853175179_91,s3rP-w784
tch_20220818-180043_88,6d92e7dc-d477-460c-a70b-3fe4117c1395,std_1660853182580_88,36gz-pKeo
tch_20220818-180043_90,a8d6a03d-b5c5-43ea-a134-c0f83d7a2db7,std_1660853181694_90,LRo6-h6rR
tch_20220818-180043_92,17064b60-a0e9-48e1-ad75-35f953e26503,std_1660853191189_92,hw2g-y4MY
tch_20220818-180043_89,bfae6f1c-ec56-48e1-a938-d6c8be9a283a,std_1660853194550_89,28F3-h4Zn
tch_20220818-180043_87,cf035460-5675-417f-ba10-a5b4eb735916,std_1660853196461_87,4XBV-pym4
tch_20220818-180043_91,d143cded-43b9-48b4-9c99-d3c5a2205e2d,std_1660853202288_91,s3rP-w784
tch_20220818-180043_93,bf417ef4-c95d-40e0-8f83-78219ab1c862,std_1660853207196_93,ixPw-NM46
tch_20220818-180043_90,1f27c7fe-7901-4d60-a594-bc577b7966b4,std_1660853211148_90,LRo6-h6rR
tch_20220818-180043_88,fd69d084-788c-4b98-a498-fa399c8907f9,std_1660853208794_88,36gz-pKeo
tch_20220818-180043_92,8c1235bd-a571-4317-9622-c22fe18947be,std_1660853215535_92,hw2g-y4MY
tch_20220818-180043_89,ad14c0f7-bd2a-4d98-a471-d5fa1930b05b,std_1660853220915_89,28F3-h4Zn
tch_20220818-180043_94,b4dbc7b9-fd6d-47d7-b075-a052ba227f59,std_1660853223204_94,3QeT-qVDM
tch_20220818-180043_91,ce6455bf-ae6d-48e1-8eb4-225d5e19ce91,std_1660853229424_91,s3rP-w784
tch_20220818-180043_93,00ae74d9-7630-4d08-a57a-c60644b8a5a6,std_1660853236450_93,ixPw-NM46
tch_20220818-180043_90,03422bca-63ef-470c-8f37-2a697bfa4a62,std_1660853237071_90,LRo6-h6rR
tch_20220818-180043_95,9aad6e3e-41f1-4d4c-b63c-deccbf3896d5,std_1660853239214_95,VP6j-NXVW
tch_20220818-180043_92,86101a81-d21a-4545-9620-197de8686b67,std_1660853242166_92,hw2g-y4MY
tch_20220818-180043_96,5492a247-55bf-4b89-8dc4-c6e2fc5acfbe,std_1660853255224_96,UkEH-K79f
tch_20220818-180043_94,5775b3c4-83e9-4707-9525-a85b3a962859,std_1660853252112_94,3QeT-qVDM
tch_20220818-180043_93,d5a8b82b-28c8-4492-9db0-29ae905f00ca,std_1660853259068_93,ixPw-NM46
tch_20220818-180043_91,822ac4a3-e419-42d1-b12f-9f8ed788ec3c,std_1660853258292_91,s3rP-w784
tch_20220818-180043_95,7ca2aa2c-4ba3-4cb4-9e70-f5ead2286107,std_1660853267804_95,VP6j-NXVW
tch_20220818-180043_92,1f33c2db-e7da-4d72-97bd-65c5d3f5de65,std_1660853268134_92,hw2g-y4MY
tch_20220818-180043_97,249381bd-9d86-4947-b4d3-b1e10f8483e4,std_1660853271237_97,46rA-MKAH
tch_20220818-180043_96,4dd35107-9f46-4315-8d70-f7bd588911db,std_1660853279933_96,UkEH-K79f
tch_20220818-180043_93,b3519d81-75ca-4fb6-b6c9-3cff09b70978,std_1660853284112_93,ixPw-NM46
tch_20220818-180043_94,163c07d4-9b77-4b86-a198-567a19f2f208,std_1660853280370_94,3QeT-qVDM
tch_20220818-180043_98,2c2661a8-36eb-4911-885a-cd3f9610bb41,std_1660853287251_98,o4mB-6XAh
tch_20220818-180043_95,ad745a6f-b4a6-446a-9508-ecdbaea6a244,std_1660853293173_95,VP6j-NXVW
tch_20220818-180043_97,f7dda4ae-8b3a-46f6-9592-0b6b1692b619,std_1660853296237_97,46rA-MKAH
tch_20220818-180043_99,8dacaaa7-60f8-45dd-9fb7-59c1e085f14a,std_1660853303266_99,RXbC-68Mb
tch_20220818-180043_96,bbd854d3-cb43-478d-a8e4-ec38a6622ae7,std_1660853306257_96,UkEH-K79f
tch_20220818-180043_94,f9fe7f38-29d4-4b3f-8125-cba7f3127ff5,std_1660853311325_94,3QeT-qVDM
tch_20220818-180043_98,4bf617e5-cdb9-4991-ab1c-6bd91ae4644d,std_1660853314186_98,o4mB-6XAh
tch_20220818-180043_100,f9ea36e4-af6f-4379-8397-fee67372d2f6,std_1660853319280_100,uzCA-dLqV
tch_20220818-180043_95,171f2f49-a865-4cf3-8ddc-25b29ea2a4b9,std_1660853319651_95,VP6j-NXVW
tch_20220818-180043_97,b8b70774-809a-4bd8-aadd-d0b3e0665e34,std_1660853321925_97,46rA-MKAH
tch_20220818-180043_99,bc944660-7c97-4f78-b87c-49ac1d7e20d6,std_1660853333265_99,RXbC-68Mb
tch_20220818-180043_101,ecfaaccb-835e-485c-a2ac-1ce62cb2f5ee,std_1660853335295_101,8te9-wBT7
tch_20220818-180043_96,541d3588-b20a-43ab-a86a-fec9dfe40f14,std_1660853333486_96,UkEH-K79f
tch_20220818-180043_98,ea4d7dd9-51ea-41bb-a2e6-075c4abfb045,std_1660853340401_98,o4mB-6XAh
tch_20220818-180043_100,d06dc4b8-616e-4e65-ad52-c2939580d102,std_1660853342411_100,uzCA-dLqV
tch_20220818-180043_102,5fc5ca3d-ad7b-41ab-9ac6-fe2d4b39a2c4,std_1660853351310_102,zDFM-rbEu
tch_20220818-180043_97,d8036559-96c6-4e5c-80d2-886f3c679a50,std_1660853348166_97,46rA-MKAH
tch_20220818-180043_99,da15dfed-70b3-44e2-ba54-6b533ac2fc14,std_1660853357891_99,RXbC-68Mb
tch_20220818-180043_101,802b4e14-bce8-4def-be3f-57c5a9d8d08f,std_1660853362118_101,8te9-wBT7
tch_20220818-180043_100,7496ec25-3d82-4129-91b6-74ed707862f3,std_1660853371473_100,uzCA-dLqV
tch_20220818-180043_98,495faf33-8bdd-41d2-bbe0-db81a6860930,std_1660853367140_98,o4mB-6XAh
tch_20220818-180043_103,20ca18f3-df22-40a4-b697-9086179d5522,std_1660853367324_103,iENn-X26X
tch_20220818-180043_102,9863d910-51e7-4fc8-8474-7117bd83781f,std_1660853377135_102,zDFM-rbEu
tch_20220818-180043_104,f774615c-27b1-4765-83ef-eacdb4f6c4a7,std_1660853383342_104,cC8T-6Epe
tch_20220818-180043_99,32102f45-2e69-497d-ad95-3085c388abe0,std_1660853384302_99,RXbC-68Mb
tch_20220818-180043_101,de9b2798-cb0f-40b3-96c4-f79eda246f19,std_1660853385825_101,8te9-wBT7
tch_20220818-180043_100,b699f64e-de87-42b6-ad0b-a48abf37c167,std_1660853394168_100,uzCA-dLqV
tch_20220818-180043_103,83c75132-bc3c-43ae-ae37-45ee029152d1,std_1660853396212_103,iENn-X26X
tch_20220818-180043_105,3986e81a-b0db-4f3f-b32f-a0bf3f719f06,std_1660853399357_105,LEjd-tXVv
tch_20220818-180043_102,1c9894ac-ab3c-47a9-86fb-70cb97ec6f06,std_1660853402742_102,zDFM-rbEu
tch_20220818-180043_104,4e5adb15-c739-4b0b-8a50-531a2ca81855,std_1660853409324_104,cC8T-6Epe
tch_20220818-180043_106,cb332346-5954-415a-af7a-1362ab982d91,std_1660853415373_106,mawQ-7BuP
tch_20220818-180043_101,38d9af77-5cf9-4208-8422-51c67ba121d1,std_1660853417066_101,8te9-wBT7
tch_20220818-180043_103,6cbb9cc8-6c1c-46e8-8c8f-7d2daf05267e,std_1660853423669_103,iENn-X26X
tch_20220818-180043_105,b6fc73fa-bee7-41fe-9917-4c64f0f47700,std_1660853428335_105,LEjd-tXVv
tch_20220818-180043_102,ed7a13ba-001c-4778-9121-3afa4ddfcfab,std_1660853429368_102,zDFM-rbEu
tch_20220818-180043_107,01d139fe-dd12-4478-9f1b-b06ddeaf1b7b,std_1660853431386_107,W63Y-Hwiy
tch_20220818-180043_104,49b04501-7b64-476e-b33f-fa247e72eb03,std_1660853434983_104,cC8T-6Epe
tch_20220818-180043_106,e642e25b-13ca-4d17-a4c6-dfa1b086951e,std_1660853441000_106,mawQ-7BuP
tch_20220818-180043_103,81cff40e-f398-4fe8-883b-456297d12a97,std_1660853451315_103,iENn-X26X
tch_20220818-180043_108,d081f723-3945-4ead-aeac-638e0881d445,std_1660853447401_108,aJ4B-3uC8
tch_20220818-180043_105,3cf3a3e8-4405-49b9-8471-74f306a9fb44,std_1660853452352_105,LEjd-tXVv
tch_20220818-180043_107,44292606-fef0-447d-a45b-d188ad6ab530,std_1660853460766_107,W63Y-Hwiy
tch_20220818-180043_104,da9012d4-a777-4ef3-9bc1-900fe796e959,std_1660853460777_104,cC8T-6Epe
tch_20220818-180043_109,ab027166-586e-450e-9221-e7cd6ade6b98,std_1660853463417_109,sg8a-HXr9
tch_20220818-180043_106,b6f63ef7-2b2b-4cf6-9be2-2a8be32e9650,std_1660853464611_106,mawQ-7BuP
tch_20220818-180043_110,d6153584-23f5-495b-9b99-69e6968517ac,std_1660853479433_110,3zyz-d7EA
tch_20220818-180043_108,d7f09738-da06-4a8d-b6b2-7be904c01e91,std_1660853476678_108,aJ4B-3uC8
tch_20220818-180043_105,a722aa37-cc3f-43eb-a80a-6146fff0c045,std_1660853479756_105,LEjd-tXVv
tch_20220818-180043_107,81fcba8d-7dfa-42d4-8991-17e56c145c69,std_1660853486927_107,W63Y-Hwiy
tch_20220818-180043_109,4633794e-c13d-44e6-99f9-33ff8059b9c8,std_1660853490678_109,sg8a-HXr9
tch_20220818-180043_111,ae86e53d-52cf-46e1-af95-621cd6de2cae,std_1660853495446_111,umKP-V9mo
tch_20220818-180043_106,d00bcb29-c206-481f-9257-aba94b859442,std_1660853495555_106,mawQ-7BuP
tch_20220818-180043_108,f8c02a07-97cf-47fa-a2fc-cfa80eb5c19e,std_1660853507319_108,aJ4B-3uC8
tch_20220818-180043_110,fc542934-a3fa-435c-ae10-0a538ccded25,std_1660853504645_110,3zyz-d7EA
tch_20220818-180043_107,3755b238-bb11-407d-af28-aaaeee9691ac,std_1660853511009_107,W63Y-Hwiy
tch_20220818-180043_112,cacea2bf-71cb-4522-9c4e-72f4615d94f6,std_1660853511461_112,rjUn-7eb6
tch_20220818-180043_109,9f54dae1-2001-4600-8264-a08a9da8d2d6,std_1660853513037_109,sg8a-HXr9
tch_20220818-180043_111,50c4ea62-2a54-4bc3-b601-ba8ef7348477,std_1660853522463_111,umKP-V9mo
tch_20220818-180043_108,93b5f196-303a-44f2-a054-3147da009946,std_1660853530513_108,aJ4B-3uC8
tch_20220818-180043_113,800012fe-ed12-4d0f-8e83-b451aac29805,std_1660853527475_113,8kW6-n6hi
tch_20220818-180043_110,55a490ac-0f00-40e4-b467-536b417e2bc7,std_1660853533268_110,3zyz-d7EA
tch_20220818-180043_112,03ac3c8b-6beb-429d-946a-faba8f65e9dd,std_1660853541884_112,rjUn-7eb6
tch_20220818-180043_114,3cd23fa3-3c57-414f-b3ae-b9379207608f,std_1660853543491_114,98m9-46kZ
tch_20220818-180043_109,4f9170c9-2e62-4f90-ada8-ad6ef2f97311,std_1660853542622_109,sg8a-HXr9
tch_20220818-180043_111,11c23375-b05a-41e2-8a0a-7b57693f1c87,std_1660853549794_111,umKP-V9mo
tch_20220818-180043_113,04e6fdd1-f2a6-46c0-bab9-b6d4a05d83e2,std_1660853556272_113,8kW6-n6hi
tch_20220818-180043_115,df1561dd-4c05-45df-94a4-9f4622af0d4f,std_1660853559532_115,n69M-q9yE
tch_20220818-180043_112,565bd67a-ea76-4981-a5ca-6b4623b433b9,std_1660853566913_112,rjUn-7eb6
tch_20220818-180043_110,8faeca9f-b23f-41ae-bfb9-c3dcd5ce3062,std_1660853564513_110,3zyz-d7EA
tch_20220818-180043_114,b00f486d-ab7c-4a37-98c4-5196b6412cf3,std_1660853570716_114,98m9-46kZ
tch_20220818-180043_116,56c4ddff-b2e5-497c-92c0-f8b57b43f8c3,std_1660853575570_116,TVYi-Ttcf
tch_20220818-180043_111,16cea3aa-e2ff-4acf-9fb9-ee2cb09dbe2f,std_1660853575046_111,umKP-V9mo
tch_20220818-180043_113,769d6db9-e5d4-4da5-9b87-242fbeeef895,std_1660853585032_113,8kW6-n6hi
tch_20220818-180043_117,ecb4f21f-c31e-425c-bc4c-eeabd65e705e,std_1660853591604_117,8JoF-v8to
tch_20220818-180043_115,5f37f17e-2f21-4fde-9f5a-138350e630a6,std_1660853588611_115,n69M-q9yE
tch_20220818-180043_112,c4bd2e4a-e022-4272-8194-37cf061bef0a,std_1660853590796_112,rjUn-7eb6
tch_20220818-180043_114,53726f0e-2ceb-4cc4-800a-a4c920aa2544,std_1660853597362_114,98m9-46kZ
tch_20220818-180043_116,b3376bc0-edc4-41c8-8b77-6779d8637371,std_1660853599656_116,TVYi-Ttcf
tch_20220818-180043_118,efce81fd-b230-4753-9b32-31a8b5bf2331,std_1660853607622_118,v79L-TCnc
tch_20220818-180043_117,94e487b9-12ab-40bc-bb92-9a203708a2b0,std_1660853615228_117,8JoF-v8to
tch_20220818-180043_113,90738517-96a6-492a-85f4-856d79118f2c,std_1660853612714_113,8kW6-n6hi
tch_20220818-180043_115,c131679f-d4a2-4062-9f9f-77aa823b51d7,std_1660853615550_115,n69M-q9yE
tch_20220818-180043_119,545b84e1-162d-4942-ad41-019667b17b69,std_1660853623637_119,JWfj-6x7x
tch_20220818-180043_114,26dc4109-4041-4fff-a317-9185b8d905e2,std_1660853625914_114,98m9-46kZ
tch_20220818-180043_116,635ad99e-ea9f-4b16-80a9-51d5ff635752,std_1660853628458_116,TVYi-Ttcf
tch_20220818-180043_118,586cee44-3f43-4388-82df-95a685d5a681,std_1660853636879_118,v79L-TCnc
tch_20220818-180043_117,2967554f-02d7-4fa6-91b0-a1a57a29381d,std_1660853639245_117,8JoF-v8to
tch_20220818-180043_115,ca694814-8d32-4b2a-9d21-7950c62f2197,std_1660853642781_115,n69M-q9yE
tch_20220818-180043_120,dc776e97-b125-456e-ad6e-93bac7475ab6,std_1660853639656_120,MP3F-76bP
tch_20220818-180043_119,a72c0cc2-390f-4dbb-9c20-2e3716d26576,std_1660853650740_119,JWfj-6x7x
tch_20220818-180043_121,e01204b6-8b9e-494e-a59d-df7c534e0ffe,std_1660853655672_121,9xP2-uJtg
tch_20220818-180043_116,5ca5da61-e690-4d3e-a32b-2401f6bc065e,std_1660853654714_116,TVYi-Ttcf
